Date,Country,Region,Therapeutic_Area,Product_ID,Brand,Manufacturer,Sales_Value,Sales_Units,Market_Share_%
2023-01-01,Egypt,Alexandria,Anti-infective,P0005,Infecto,Epsilon Pharma,999721.5,4563,100.0
2023-01-01,Egypt,Alexandria,CNS,P0006,NeuroCalm,Zeta Pharma,371182.65,6498,100.0
2023-01-01,Egypt,Alexandria,Cardiology,P0001,CardioSafe,Alpha Pharma,296247.65,1909,100.0
2023-01-01,Egypt,Alexandria,Cardiovascular,P0009,LipiControl,Iota Pharma,236098.42,6212,100.0
2023-01-01,Egypt,Alexandria,Dermatology,P0008,Dermacare,Theta Pharma,620653.75,3820,100.0
2023-01-01,Egypt,Alexandria,Diabetes,P0002,GlucoMax,Beta Pharma,117528.5,1749,100.0
2023-01-01,Egypt,Alexandria,Gastrointestinal,P0010,GastroEase,Kappa Pharma,313030.85,7483,100.0
2023-01-01,Egypt,Alexandria,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,902894.62,4547,100.0
2023-01-01,Egypt,Alexandria,Pain,P0004,PainFree,Delta Pharma,372533.81,5723,100.0
2023-01-01,Egypt,Alexandria,Respiratory,P0003,Respira,Gamma Pharma,277812.37,1441,100.0
2023-01-01,Egypt,Cairo,Anti-infective,P0005,Infecto,Epsilon Pharma,658198.4,6274,100.0
2023-01-01,Egypt,Cairo,CNS,P0006,NeuroCalm,Zeta Pharma,341129.19,3162,100.0
2023-01-01,Egypt,Cairo,Cardiology,P0001,CardioSafe,Alpha Pharma,861614.94,6414,100.0
2023-01-01,Egypt,Cairo,Cardiovascular,P0009,LipiControl,Iota Pharma,287242.76,3144,100.0
2023-01-01,Egypt,Cairo,Dermatology,P0008,Dermacare,Theta Pharma,597906.3,5054,100.0
2023-01-01,Egypt,Cairo,Diabetes,P0002,GlucoMax,Beta Pharma,675144.26,4586,100.0
2023-01-01,Egypt,Cairo,Gastrointestinal,P0010,GastroEase,Kappa Pharma,472320.41,7607,100.0
2023-01-01,Egypt,Cairo,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,396785.86,6940,100.0
2023-01-01,Egypt,Cairo,Pain,P0004,PainFree,Delta Pharma,558406.46,3604,100.0
2023-01-01,Egypt,Cairo,Respiratory,P0003,Respira,Gamma Pharma,85256.93,1770,100.0
2023-01-01,Egypt,Canal,Anti-infective,P0005,Infecto,Epsilon Pharma,1033758.04,8772,100.0
2023-01-01,Egypt,Canal,CNS,P0006,NeuroCalm,Zeta Pharma,177698.29,2194,100.0
2023-01-01,Egypt,Canal,Cardiology,P0001,CardioSafe,Alpha Pharma,171932.44,1733,100.0
2023-01-01,Egypt,Canal,Cardiovascular,P0009,LipiControl,Iota Pharma,1522243.41,7520,100.0
2023-01-01,Egypt,Canal,Dermatology,P0008,Dermacare,Theta Pharma,400729.9,2555,100.0
2023-01-01,Egypt,Canal,Diabetes,P0002,GlucoMax,Beta Pharma,144785.4,1213,100.0
2023-01-01,Egypt,Canal,Gastrointestinal,P0010,GastroEase,Kappa Pharma,822232.54,4934,100.0
2023-01-01,Egypt,Canal,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,758872.14,5202,100.0
2023-01-01,Egypt,Canal,Pain,P0004,PainFree,Delta Pharma,949726.51,5284,100.0
2023-01-01,Egypt,Canal,Respiratory,P0003,Respira,Gamma Pharma,989353.97,6363,100.0
2023-01-01,Egypt,Delta,Anti-infective,P0005,Infecto,Epsilon Pharma,1394456.26,7864,100.0
2023-01-01,Egypt,Delta,CNS,P0006,NeuroCalm,Zeta Pharma,644453.9,5003,100.0
2023-01-01,Egypt,Delta,Cardiology,P0001,CardioSafe,Alpha Pharma,1369468.1,8536,100.0
2023-01-01,Egypt,Delta,Cardiovascular,P0009,LipiControl,Iota Pharma,919848.08,8273,100.0
2023-01-01,Egypt,Delta,Dermatology,P0008,Dermacare,Theta Pharma,747959.62,4357,100.0
2023-01-01,Egypt,Delta,Diabetes,P0002,GlucoMax,Beta Pharma,720671.42,3505,100.0
2023-01-01,Egypt,Delta,Gastrointestinal,P0010,GastroEase,Kappa Pharma,1062549.48,5408,100.0
2023-01-01,Egypt,Delta,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,253705.11,1329,100.0
2023-01-01,Egypt,Delta,Pain,P0004,PainFree,Delta Pharma,1421336.35,6606,100.0
2023-01-01,Egypt,Delta,Respiratory,P0003,Respira,Gamma Pharma,505054.01,4637,100.0
2023-01-01,Egypt,Giza,Anti-infective,P0005,Infecto,Epsilon Pharma,315034.11,6266,100.0
2023-01-01,Egypt,Giza,CNS,P0006,NeuroCalm,Zeta Pharma,146053.95,1728,100.0
2023-01-01,Egypt,Giza,Cardiology,P0001,CardioSafe,Alpha Pharma,483018.97,2274,100.0
2023-01-01,Egypt,Giza,Cardiovascular,P0009,LipiControl,Iota Pharma,142693.82,987,100.0
2023-01-01,Egypt,Giza,Dermatology,P0008,Dermacare,Theta Pharma,585051.9,5479,100.0
2023-01-01,Egypt,Giza,Diabetes,P0002,GlucoMax,Beta Pharma,61041.32,973,100.0
2023-01-01,Egypt,Giza,Gastrointestinal,P0010,GastroEase,Kappa Pharma,915971.95,5964,100.0
2023-01-01,Egypt,Giza,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,455226.72,2388,100.0
2023-01-01,Egypt,Giza,Pain,P0004,PainFree,Delta Pharma,255450.86,6207,100.0
2023-01-01,Egypt,Giza,Respiratory,P0003,Respira,Gamma Pharma,1094381.82,6719,100.0
2023-01-01,Egypt,Upper Egypt,Anti-infective,P0005,Infecto,Epsilon Pharma,514851.78,7149,100.0
2023-01-01,Egypt,Upper Egypt,CNS,P0006,NeuroCalm,Zeta Pharma,122703.47,3147,100.0
2023-01-01,Egypt,Upper Egypt,Cardiology,P0001,CardioSafe,Alpha Pharma,589598.24,5132,100.0
2023-01-01,Egypt,Upper Egypt,Cardiovascular,P0009,LipiControl,Iota Pharma,774578.63,5989,100.0
2023-01-01,Egypt,Upper Egypt,Dermatology,P0008,Dermacare,Theta Pharma,342036.82,2881,100.0
2023-01-01,Egypt,Upper Egypt,Diabetes,P0002,GlucoMax,Beta Pharma,932575.19,5336,100.0
2023-01-01,Egypt,Upper Egypt,Gastrointestinal,P0010,GastroEase,Kappa Pharma,181489.11,1884,100.0
2023-01-01,Egypt,Upper Egypt,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,667275.82,4310,100.0
2023-01-01,Egypt,Upper Egypt,Pain,P0004,PainFree,Delta Pharma,345478.75,2092,100.0
2023-01-01,Egypt,Upper Egypt,Respiratory,P0003,Respira,Gamma Pharma,1105323.02,5319,100.0
2023-02-01,Egypt,Alexandria,Anti-infective,P0005,Infecto,Epsilon Pharma,1626037.62,7584,100.0
2023-02-01,Egypt,Alexandria,CNS,P0006,NeuroCalm,Zeta Pharma,984857.52,8875,100.0
2023-02-01,Egypt,Alexandria,Cardiology,P0001,CardioSafe,Alpha Pharma,970159.34,7734,100.0
2023-02-01,Egypt,Alexandria,Cardiovascular,P0009,LipiControl,Iota Pharma,617196.68,4534,100.0
2023-02-01,Egypt,Alexandria,Dermatology,P0008,Dermacare,Theta Pharma,1160923.38,7083,100.0
2023-02-01,Egypt,Alexandria,Diabetes,P0002,GlucoMax,Beta Pharma,702900.85,4632,100.0
2023-02-01,Egypt,Alexandria,Gastrointestinal,P0010,GastroEase,Kappa Pharma,463096.57,6622,100.0
2023-02-01,Egypt,Alexandria,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,904564.78,4801,100.0
2023-02-01,Egypt,Alexandria,Pain,P0004,PainFree,Delta Pharma,587448.87,6636,100.0
2023-02-01,Egypt,Alexandria,Respiratory,P0003,Respira,Gamma Pharma,1157609.68,7837,100.0
2023-02-01,Egypt,Cairo,Anti-infective,P0005,Infecto,Epsilon Pharma,1677973.43,8611,100.0
2023-02-01,Egypt,Cairo,CNS,P0006,NeuroCalm,Zeta Pharma,273654.5,4200,100.0
2023-02-01,Egypt,Cairo,Cardiology,P0001,CardioSafe,Alpha Pharma,71641.69,923,100.0
2023-02-01,Egypt,Cairo,Cardiovascular,P0009,LipiControl,Iota Pharma,1200575.1,7570,100.0
2023-02-01,Egypt,Cairo,Dermatology,P0008,Dermacare,Theta Pharma,710119.18,8231,100.0
2023-02-01,Egypt,Cairo,Diabetes,P0002,GlucoMax,Beta Pharma,912574.16,4682,100.0
2023-02-01,Egypt,Cairo,Gastrointestinal,P0010,GastroEase,Kappa Pharma,493016.83,3974,100.0
2023-02-01,Egypt,Cairo,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,264203.56,5476,100.0
2023-02-01,Egypt,Cairo,Pain,P0004,PainFree,Delta Pharma,150460.51,1241,100.0
2023-02-01,Egypt,Cairo,Respiratory,P0003,Respira,Gamma Pharma,112418.94,1857,100.0
2023-02-01,Egypt,Canal,Anti-infective,P0005,Infecto,Epsilon Pharma,475012.38,5384,100.0
2023-02-01,Egypt,Canal,CNS,P0006,NeuroCalm,Zeta Pharma,1293514.71,8470,100.0
2023-02-01,Egypt,Canal,Cardiology,P0001,CardioSafe,Alpha Pharma,333669.13,7062,100.0
2023-02-01,Egypt,Canal,Cardiovascular,P0009,LipiControl,Iota Pharma,1258852.74,7905,100.0
2023-02-01,Egypt,Canal,Dermatology,P0008,Dermacare,Theta Pharma,1377332.57,7027,100.0
2023-02-01,Egypt,Canal,Diabetes,P0002,GlucoMax,Beta Pharma,669992.68,3622,100.0
2023-02-01,Egypt,Canal,Gastrointestinal,P0010,GastroEase,Kappa Pharma,310344.87,4158,100.0
2023-02-01,Egypt,Canal,Musculoskeletal,P0007,ArthroRelief,Eta Pharma,403291.61,4737,100.0
2023-02-01,Egypt,Canal,Pain,P0004,PainFree,Delta Pharma,1042379.87,8625,100.0
2023-02-01,Egypt,Canal,Respiratory,P0003,Respira,Gamma Pharma,363983.17,1997,100.0
2023-02-01,Egypt,Delta,Anti-infective,P0005,Infecto,Epsilon Pharma,114772.28,2631,100.0
2023-02-01,Egypt,Delta,CNS,P0006,NeuroCalm,Zeta Pharma,694275.05,6293,100.0
