Month,Outlet_ID,Outlet_Type,Region,Product_ID,Brand,Manufacturer,Units,Sales_Value,Transaction_Type,Territory_ID
2023-01-01,OUT00108,Clinic,Alexandria,P0008,Dermacare,Theta Pharma,50,8976.86,Sell-in,T004
2023-01-01,OUT00114,Clinic,Delta,P0006,NeuroCalm,Zeta Pharma,750,45536.99,Sell-in,T021
2023-01-01,OUT00079,Clinic,Upper Egypt,P0009,LipiControl,Iota Pharma,645,53374.0,Sell-in,T006
2023-01-01,OUT00044,Independent Pharmacy,Cairo,P0004,PainFree,Delta Pharma,46,1456.44,Sell-in,T024
2023-01-01,OUT00058,Hospital,Giza,P0004,PainFree,Delta Pharma,602,22025.11,Sell-in,T027
2023-01-01,OUT00038,Clinic,Giza,P0009,LipiControl,Iota Pharma,578,50480.73,Sell-in,T019
2023-01-01,OUT00099,Clinic,Delta,P0002,GlucoMax,Beta Pharma,634,107578.5,Sell-in,T017
2023-01-01,OUT00069,Chain Pharmacy,Delta,P0010,GastroEase,Kappa Pharma,781,136433.23,Sell-in,T018
2023-01-01,OUT00022,Independent Pharmacy,Upper Egypt,P0001,CardioSafe,Alpha Pharma,82,8417.07,Sell-in,T015
2023-01-01,OUT00008,Hospital,Alexandria,P0002,GlucoMax,Beta Pharma,563,50884.42,Sell-in,T026
2023-01-01,OUT00115,Clinic,Delta,P0009,LipiControl,Iota Pharma,549,21422.31,Sell-in,T015
2023-01-01,OUT00091,Independent Pharmacy,Delta,P0001,CardioSafe,Alpha Pharma,62,3209.08,Sell-in,T030
2023-01-01,OUT00070,Chain Pharmacy,Giza,P0008,Dermacare,Theta Pharma,86,10425.2,Sell-in,T026
2023-01-01,OUT00016,Clinic,Giza,P0005,Infecto,Epsilon Pharma,649,32754.7,Sell-in,T006
2023-01-01,OUT00039,Chain Pharmacy,Upper Egypt,P0006,NeuroCalm,Zeta Pharma,817,53183.83,Sell-in,T025
2023-01-01,OUT00037,Clinic,Giza,P0003,Respira,Gamma Pharma,662,27638.42,Sell-in,T006
2023-01-01,OUT00064,Hospital,Cairo,P0003,Respira,Gamma Pharma,707,60889.24,Sell-in,T009
2023-01-01,OUT00042,Hospital,Delta,P0004,PainFree,Delta Pharma,612,94582.21,Sell-in,T030
2023-01-01,OUT00031,Independent Pharmacy,Canal,P0002,GlucoMax,Beta Pharma,770,113088.94,Sell-in,T024
2023-01-01,OUT00018,Independent Pharmacy,Canal,P0007,ArthroRelief,Eta Pharma,464,57569.77,Sell-in,T007
2023-01-01,OUT00103,Independent Pharmacy,Alexandria,P0004,PainFree,Delta Pharma,684,59649.2,Sell-in,T010
2023-01-01,OUT00063,Hospital,Alexandria,P0006,NeuroCalm,Zeta Pharma,466,83792.88,Sell-in,T008
2023-01-01,OUT00061,Independent Pharmacy,Alexandria,P0003,Respira,Gamma Pharma,118,8852.97,Sell-in,T023
2023-01-01,OUT00111,Hospital,Upper Egypt,P0002,GlucoMax,Beta Pharma,76,9341.59,Sell-in,T027
2023-01-01,OUT00104,Chain Pharmacy,Upper Egypt,P0004,PainFree,Delta Pharma,897,67704.46,Sell-in,T030
2023-01-01,OUT00014,Chain Pharmacy,Upper Egypt,P0005,Infecto,Epsilon Pharma,112,8535.79,Sell-in,T011
2023-01-01,OUT00002,Chain Pharmacy,Upper Egypt,P0001,CardioSafe,Alpha Pharma,778,139788.82,Sell-in,T002
2023-01-01,OUT00046,Clinic,Canal,P0009,LipiControl,Iota Pharma,150,3963.96,Sell-in,T019
2023-01-01,OUT00118,Clinic,Upper Egypt,P0009,LipiControl,Iota Pharma,393,15316.49,Sell-in,T009
2023-01-01,OUT00113,Chain Pharmacy,Delta,P0001,CardioSafe,Alpha Pharma,374,45122.22,Sell-in,T030
2023-01-01,OUT00036,Hospital,Upper Egypt,P0004,PainFree,Delta Pharma,167,7577.56,Sell-in,T026
2023-01-01,OUT00074,Clinic,Alexandria,P0005,Infecto,Epsilon Pharma,407,11547.78,Sell-in,T011
2023-01-01,OUT00088,Clinic,Canal,P0007,ArthroRelief,Eta Pharma,299,13419.56,Sell-in,T005
2023-01-01,OUT00116,Hospital,Giza,P0003,Respira,Gamma Pharma,822,93879.41,Sell-in,T014
2023-01-01,OUT00120,Chain Pharmacy,Alexandria,P0004,PainFree,Delta Pharma,94,8898.62,Sell-in,T009
2023-01-01,OUT00017,Chain Pharmacy,Giza,P0004,PainFree,Delta Pharma,324,61295.96,Sell-in,T018
2023-01-01,OUT00072,Clinic,Upper Egypt,P0005,Infecto,Epsilon Pharma,320,22606.31,Sell-in,T024
2023-01-01,OUT00065,Chain Pharmacy,Delta,P0009,LipiControl,Iota Pharma,67,10895.06,Sell-in,T002
2023-01-01,OUT00068,Independent Pharmacy,Canal,P0001,CardioSafe,Alpha Pharma,856,144349.88,Sell-in,T021
2023-01-01,OUT00003,Hospital,Upper Egypt,P0008,Dermacare,Theta Pharma,525,92183.22,Sell-in,T016
2023-01-01,OUT00096,Chain Pharmacy,Cairo,P0008,Dermacare,Theta Pharma,634,48644.09,Sell-in,T007
2023-01-01,OUT00040,Independent Pharmacy,Alexandria,P0010,GastroEase,Kappa Pharma,127,16426.27,Sell-in,T012
2023-01-01,OUT00030,Clinic,Cairo,P0009,LipiControl,Iota Pharma,677,127488.76,Sell-in,T006
2023-01-01,OUT00033,Hospital,Canal,P0010,GastroEase,Kappa Pharma,526,87787.03,Sell-in,T018
