Date,Country,Region,Product_ID,Brand,Molecule,Manufacturer,ATC_Code,Therapeutic_Area,Dosage_Form,Strength,Pack_Size,Units,Standard_Units,Sales_Value,Channel,Currency,Market_Share_%,Value_Growth_%
2023-01-01,Egypt,Cairo,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,6414,13554.0,861614.94,Independent Pharmacy,EGP,17.462788362390782,
2023-01-01,Egypt,Giza,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,2274,3886.0,483018.97,Independent Pharmacy,EGP,10.844792502160935,
2023-01-01,Egypt,Alexandria,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,1909,3494.0,296247.65,Independent Pharmacy,EGP,6.572029621145586,
2023-01-01,Egypt,Delta,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,8536,11238.0,1369468.1,Hospital,EGP,15.149817434694993,
2023-01-01,Egypt,Upper Egypt,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,5132,8374.0,589598.24,Hospital,EGP,10.574025625155128,
2023-01-01,Egypt,Canal,P0001,CardioSafe,Molecule A,Alpha Pharma,C09AA05,Cardiology,Tablet,20 mg,28,1733,2348.0,171932.44,Chain Pharmacy,EGP,2.4662779539953212,
2023-01-01,Egypt,Cairo,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,4586,9605.0,675144.26,Chain Pharmacy,EGP,13.6834922180701,
2023-01-01,Egypt,Giza,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,973,1375.0,61041.32,Independent Pharmacy,EGP,1.3705061096420426,
2023-01-01,Egypt,Alexandria,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,1749,3421.0,117528.5,Hospital,EGP,2.6072807103408553,
2023-01-01,Egypt,Delta,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,3505,5521.0,720671.42,Chain Pharmacy,EGP,7.972467882532201,
2023-01-01,Egypt,Upper Egypt,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,5336,10022.0,932575.19,Independent Pharmacy,EGP,16.72507359663067,
2023-01-01,Egypt,Canal,P0002,GlucoMax,Molecule B,Beta Pharma,A10BA02,Diabetes,Tablet,500 mg,30,1213,1643.0,144785.4,Independent Pharmacy,EGP,2.0768683331685063,
