Month,HCP_ID,Specialty,City,Territory,Product_ID,Brand,Molecule,New_Rx,Refill_Rx,Total_Rx
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0001,CardioSafe,Molecule A,16,6,22
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0002,GlucoMax,Molecule B,27,25,52
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0003,Respira,Molecule C,7,88,95
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0004,PainFree,Molecule D,10,18,28
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0005,Infecto,Molecule E,30,93,123
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0006,NeuroCalm,Molecule F,16,86,102
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0007,ArthroRelief,Molecule G,17,35,52
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0008,Dermacare,Molecule H,3,62,65
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0009,LipiControl,Molecule I,15,84,99
2023-01-01,HCP0001,Cardiology,Cairo,Cairo East,P0010,GastroEase,Molecule J,28,18,46
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0001,CardioSafe,Molecule A,21,72,93
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0002,GlucoMax,Molecule B,37,57,94
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0003,Respira,Molecule C,29,75,104
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0004,PainFree,Molecule D,16,75,91
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0005,Infecto,Molecule E,2,90,92
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0006,NeuroCalm,Molecule F,37,57,94
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0007,ArthroRelief,Molecule G,9,46,55
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0008,Dermacare,Molecule H,25,26,51
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0009,LipiControl,Molecule I,23,96,119
2023-01-01,HCP0002,Internal Medicine,Cairo,Cairo West,P0010,GastroEase,Molecule J,18,10,28
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0001,CardioSafe,Molecule A,4,42,46
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0002,GlucoMax,Molecule B,6,13,19
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0003,Respira,Molecule C,4,10,14
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0004,PainFree,Molecule D,32,99,131
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0005,Infecto,Molecule E,11,52,63
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0006,NeuroCalm,Molecule F,15,63,78
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0007,ArthroRelief,Molecule G,3,22,25
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0008,Dermacare,Molecule H,18,44,62
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0009,LipiControl,Molecule I,36,80,116
2023-01-01,HCP0003,Endocrinology,Giza,Giza,P0010,GastroEase,Molecule J,14,27,41
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0001,CardioSafe,Molecule A,13,28,41
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0002,GlucoMax,Molecule B,14,22,36
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0003,Respira,Molecule C,15,17,32
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0004,PainFree,Molecule D,34,67,101
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0005,Infecto,Molecule E,24,6,30
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0006,NeuroCalm,Molecule F,8,91,99
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0007,ArthroRelief,Molecule G,26,56,82
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0008,Dermacare,Molecule H,18,91,109
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0009,LipiControl,Molecule I,38,53,91
2023-01-01,HCP0004,Pediatrics,Alexandria,Alexandria,P0010,GastroEase,Molecule J,15,6,21
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0001,CardioSafe,Molecule A,11,34,45
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0002,GlucoMax,Molecule B,23,13,36
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0003,Respira,Molecule C,33,99,132
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0004,PainFree,Molecule D,21,90,111
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0005,Infecto,Molecule E,35,16,51
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0006,NeuroCalm,Molecule F,39,46,85
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0007,ArthroRelief,Molecule G,32,80,112
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0008,Dermacare,Molecule H,31,95,126
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0009,LipiControl,Molecule I,2,57,59
2023-01-01,HCP0005,Pulmonology,Mansoura,Delta,P0010,GastroEase,Molecule J,13,38,51
2023-01-01,HCP0006,Neurology,Assiut,Upper Egypt,P0001,CardioSafe,Molecule A,16,20,36
2023-01-01,HCP0006,Neurology,Assiut,Upper Egypt,P0002,GlucoMax,Molecule B,6,82,88
2023-01-01,HCP0006,Neurology,Assiut,Upper Egypt,P0003,Respira,Molecule C,39,33,72
2023-01-01,HCP0006,Neurology,Assiut,Upper Egypt,P0004,PainFree,Molecule D,10,14,24
