Month,HCP_ID,Product_ID,Brand,Specialty,Territory,Channel,Touches,Promotional_Spend,Engagement_Rate
2023-01-01,HCP0003,P0001,CardioSafe,Endocrinology,Giza,Event,4,1383.32,0.194
2023-01-01,HCP0008,P0009,LipiControl,GP,Giza,Event,5,353.44,0.093
2023-01-01,HCP0001,P0006,NeuroCalm,Cardiology,Cairo East,Sample,4,1323.04,0.354
2023-01-01,HCP0005,P0001,CardioSafe,Pulmonology,Delta,Event,8,1691.65,0.325
2023-01-01,HCP0008,P0004,PainFree,GP,Giza,Sample,12,1680.36,0.275
2023-01-01,HCP0007,P0002,GlucoMax,Dermatology,Cairo East,Email,3,234.37,0.051
2023-01-01,HCP0008,P0003,Respira,GP,Giza,Digital,4,341.58,0.403
2023-01-01,HCP0004,P0004,PainFree,Pediatrics,Alexandria,Event,6,409.51,0.305
2023-01-01,HCP0006,P0009,LipiControl,Neurology,Upper Egypt,Sample,7,451.64,0.158
2023-01-01,HCP0004,P0006,NeuroCalm,Pediatrics,Alexandria,Field Call,5,803.17,0.165
2023-01-01,HCP0004,P0008,Dermacare,Pediatrics,Alexandria,Field Call,7,321.13,0.108
2023-01-01,HCP0007,P0005,Infecto,Dermatology,Cairo East,Event,6,1407.23,0.17
2023-01-01,HCP0007,P0003,Respira,Dermatology,Cairo East,Event,13,3117.6,0.302
2023-01-01,HCP0002,P0003,Respira,Internal Medicine,Cairo West,Sample,7,1890.35,0.309
2023-01-01,HCP0007,P0009,LipiControl,Dermatology,Cairo East,Email,13,4368.27,0.14
2023-01-01,HCP0002,P0010,GastroEase,Internal Medicine,Cairo West,Sample,13,3362.04,0.259
2023-01-01,HCP0003,P0003,Respira,Endocrinology,Giza,Email,5,604.53,0.119
2023-01-01,HCP0006,P0002,GlucoMax,Neurology,Upper Egypt,Field Call,0,0.0,0.175
2023-01-01,HCP0001,P0008,Dermacare,Cardiology,Cairo East,Email,6,1968.83,0.209
2023-01-01,HCP0004,P0004,PainFree,Pediatrics,Alexandria,Event,14,798.8,0.291
2023-01-01,HCP0008,P0004,PainFree,GP,Giza,Field Call,5,271.83,0.408
2023-01-01,HCP0010,P0009,LipiControl,Orthopedics,Cairo West,Field Call,11,584.17,0.351
2023-01-01,HCP0002,P0003,Respira,Internal Medicine,Cairo West,Event,1,256.42,0.18
2023-01-01,HCP0010,P0002,GlucoMax,Orthopedics,Cairo West,Event,6,144.61,0.354
2023-01-01,HCP0009,P0005,Infecto,Cardiology,Alexandria,Event,1,242.94,0.369
2023-01-01,HCP0007,P0004,PainFree,Dermatology,Cairo East,Sample,12,872.41,0.147
2023-01-01,HCP0002,P0001,CardioSafe,Internal Medicine,Cairo West,Email,0,0.0,0.052
2023-01-01,HCP0002,P0006,NeuroCalm,Internal Medicine,Cairo West,Sample,13,1910.82,0.154
2023-01-01,HCP0002,P0008,Dermacare,Internal Medicine,Cairo West,Event,4,828.88,0.068
2023-01-01,HCP0002,P0009,LipiControl,Internal Medicine,Cairo West,Sample,6,1865.97,0.4
