Previous_Brand,Brand,Unique_Patients,Share_%
ArthroRelief,ArthroRelief,387,5.215633423180592
ArthroRelief,PainFree,404,5.444743935309973
CardioSafe,CardioSafe,411,5.539083557951482
CardioSafe,GastroEase,243,3.2749326145552557
CardioSafe,GlucoMax,54,0.7277628032345014
CardioSafe,LipiControl,460,6.199460916442049
GastroEase,CardioSafe,59,0.7951482479784366
GastroEase,GastroEase,543,7.318059299191375
GastroEase,LipiControl,74,0.9973045822102425
GastroEase,NeuroCalm,125,1.6846361185983827
GastroEase,PainFree,442,5.9568733153638815
GlucoMax,CardioSafe,259,3.490566037735849
GlucoMax,GlucoMax,252,3.3962264150943398
GlucoMax,LipiControl,259,3.490566037735849
LipiControl,CardioSafe,551,7.42587601078167
LipiControl,GastroEase,56,0.7547169811320755
LipiControl,GlucoMax,57,0.7681940700808626
LipiControl,LipiControl,471,6.347708894878706
NeuroCalm,GastroEase,413,5.566037735849057
NeuroCalm,NeuroCalm,517,6.967654986522912
NeuroCalm,Respira,116,1.5633423180592994
PainFree,ArthroRelief,130,1.7520215633423182
PainFree,GastroEase,155,2.0889487870619945
PainFree,PainFree,229,3.0862533692722374
Respira,NeuroCalm,409,5.512129380053908
Respira,Respira,344,4.636118598382749
