table,column,type
dim_kol,kol_id,string
dim_kol,name,string
dim_kol,specialty,string
dim_kol,institution,string
fact_kol_activity,publication_count,integer
fact_kol_activity,citation_count,integer
fact_kol_activity,clinical_trial_count,integer
fact_publication,publication_id,string
fact_publication,topic,string
fact_publication,author,string
fact_publication,year,integer
fact_publication,citation_count,integer
fact_clinical_trial,trial_id,string
fact_clinical_trial,sponsor,string
fact_clinical_trial,molecule,string
fact_clinical_trial,indication,string
fact_clinical_trial,phase,string
fact_clinical_trial,status,string
fact_competitor_pipeline,company,string
fact_competitor_pipeline,molecule,string
fact_competitor_pipeline,indication,string
fact_competitor_pipeline,phase_score,float
fact_competitor_pipeline,commercial_potential,float
fact_competitor_pipeline,launch_probability,float
fact_evidence,indication,string
fact_evidence,study_count,integer
fact_evidence,publication_count,integer
fact_evidence,guideline_mentions,integer
fact_evidence,evidence_quality,float
